#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Klax (USA);Klax (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Knight Rider Special (Japan);Knight Rider Special (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Kore ga Pro Yakyuu '89 (Japan);Kore ga Pro Yakyuu '89 (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Kore ga Pro Yakyuu '90 (Japan);Kore ga Pro Yakyuu '90 (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Kung Fu, The (Japan);Kung Fu, The (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Kyuukyoku Mahjong - Idol Graphics (Japan);Kyuukyoku Mahjong - Idol Graphics (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Kyuukyoku Mahjong II (Japan);Kyuukyoku Mahjong II (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Kyuukyoku Tiger (Japan);Kyuukyoku Tiger (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Lady Sword (Japan);Lady Sword (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Lady Sword (Japan) (Alt 1);Lady Sword (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
Legend of Hero Tonma (Japan);Legend of Hero Tonma (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Legend of Hero Tonma (USA);Legend of Hero Tonma (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Legendary Axe II, The (USA);Legendary Axe II, The (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Legendary Axe, The (USA);Legendary Axe, The (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Lode Runner - Lost Labyrinth (Japan);Lode Runner - Lost Labyrinth (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Maerchen Maze (Japan);Maerchen Maze (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Magical Chase (Japan);Magical Chase (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
